BIN,PRODUCTO,NATURALEZA,MARCA
20202200,PRESTAMOS ABCD,CREDITO,PRIVADA
20202201,PRESTAMOS ABCD,CREDITO,PRIVADA
20202202,PRESTAMOS ABCD,CREDITO,PRIVADA
20202203,PRESTAMOS ABCD,CREDITO,PRIVADA
20202204,PRESTAMOS ABCD,CREDITO,PRIVADA
20202205,PRESTAMOS ABCD,CREDITO,PRIVADA
20202206,PRESTAMOS ABCD,CREDITO,PRIVADA
20202207,PRESTAMOS ABCD,CREDITO,PRIVADA
20202208,PRESTAMOS ABCD,CREDITO,PRIVADA
20202209,PRESTAMOS ABCD,CREDITO,PRIVADA
20202210,PRESTAMOS ABCD,CREDITO,PRIVADA
20202211,PRESTAMOS ABCD,CREDITO,PRIVADA
20202212,PRESTAMOS ABCD,CREDITO,PRIVADA
20202213,PRESTAMOS ABCD,CREDITO,PRIVADA
20202214,PRESTAMOS ABCD,CREDITO,PRIVADA
20202215,PRESTAMOS ABCD,CREDITO,PRIVADA
20202216,PRESTAMOS ABCD,CREDITO,PRIVADA
20202217,PRESTAMOS ABCD,CREDITO,PRIVADA
20202218,PRESTAMOS ABCD,CREDITO,PRIVADA
20202219,PRESTAMOS ABCD,CREDITO,PRIVADA
20202220,PRESTAMOS ABCD,CREDITO,PRIVADA
20202221,PRESTAMOS ABCD,CREDITO,PRIVADA
20202222,PRESTAMOS ABCD,CREDITO,PRIVADA
20202223,PRESTAMOS ABCD,CREDITO,PRIVADA
20202224,PRESTAMOS ABCD,CREDITO,PRIVADA
20202225,PRESTAMOS ABCD,CREDITO,PRIVADA
20202226,PRESTAMOS ABCD,CREDITO,PRIVADA
20202227,PRESTAMOS ABCD,CREDITO,PRIVADA
20202228,PRESTAMOS ABCD,CREDITO,PRIVADA
20202229,PRESTAMOS ABCD,CREDITO,PRIVADA
20202230,PRESTAMOS ABCD,CREDITO,PRIVADA
20202231,PRESTAMOS ABCD,CREDITO,PRIVADA
20202232,PRESTAMOS ABCD,CREDITO,PRIVADA
20202233,PRESTAMOS ABCD,CREDITO,PRIVADA
20202234,PRESTAMOS ABCD,CREDITO,PRIVADA
20202235,PRESTAMOS ABCD,CREDITO,PRIVADA
20202236,PRESTAMOS ABCD,CREDITO,PRIVADA
20202237,PRESTAMOS ABCD,CREDITO,PRIVADA
20202238,PRESTAMOS ABCD,CREDITO,PRIVADA
20202239,PRESTAMOS ABCD,CREDITO,PRIVADA
20202240,PRESTAMOS ABCD,CREDITO,PRIVADA
20202241,PRESTAMOS ABCD,CREDITO,PRIVADA
20202242,PRESTAMOS ABCD,CREDITO,PRIVADA
20202243,PRESTAMOS ABCD,CREDITO,PRIVADA
20202244,PRESTAMOS ABCD,CREDITO,PRIVADA
20202245,PRESTAMOS ABCD,CREDITO,PRIVADA
20202246,PRESTAMOS ABCD,CREDITO,PRIVADA
20202247,PRESTAMOS ABCD,CREDITO,PRIVADA
20202248,PRESTAMOS ABCD,CREDITO,PRIVADA
20202249,PRESTAMOS ABCD,CREDITO,PRIVADA
20202250,PRESTAMOS ABCD,CREDITO,PRIVADA
20202251,PRESTAMOS ABCD,CREDITO,PRIVADA
20202252,PRESTAMOS ABCD,CREDITO,PRIVADA
20202253,PRESTAMOS ABCD,CREDITO,PRIVADA
20202254,PRESTAMOS ABCD,CREDITO,PRIVADA
20202255,PRESTAMOS ABCD,CREDITO,PRIVADA
20202256,PRESTAMOS ABCD,CREDITO,PRIVADA
20202257,PRESTAMOS ABCD,CREDITO,PRIVADA
20202258,PRESTAMOS ABCD,CREDITO,PRIVADA
20202259,PRESTAMOS ABCD,CREDITO,PRIVADA
20202260,PRESTAMOS ABCD,CREDITO,PRIVADA
20202261,PRESTAMOS ABCD,CREDITO,PRIVADA
20202262,PRESTAMOS ABCD,CREDITO,PRIVADA
20202263,PRESTAMOS ABCD,CREDITO,PRIVADA
20202264,PRESTAMOS ABCD,CREDITO,PRIVADA
20202265,PRESTAMOS ABCD,CREDITO,PRIVADA
20202266,PRESTAMOS ABCD,CREDITO,PRIVADA
20202267,PRESTAMOS ABCD,CREDITO,PRIVADA
20202268,PRESTAMOS ABCD,CREDITO,PRIVADA
20202269,PRESTAMOS ABCD,CREDITO,PRIVADA
20202270,PRESTAMOS ABCD,CREDITO,PRIVADA
20202271,PRESTAMOS ABCD,CREDITO,PRIVADA
20202272,PRESTAMOS ABCD,CREDITO,PRIVADA
20202273,PRESTAMOS ABCD,CREDITO,PRIVADA
20202274,PRESTAMOS ABCD,CREDITO,PRIVADA
20202275,PRESTAMOS ABCD,CREDITO,PRIVADA
20202276,PRESTAMOS ABCD,CREDITO,PRIVADA
20202277,PRESTAMOS ABCD,CREDITO,PRIVADA
20202278,PRESTAMOS ABCD,CREDITO,PRIVADA
20202279,PRESTAMOS ABCD,CREDITO,PRIVADA
20202280,PRESTAMOS ABCD,CREDITO,PRIVADA
20202281,PRESTAMOS ABCD,CREDITO,PRIVADA
20202282,PRESTAMOS ABCD,CREDITO,PRIVADA
20202283,PRESTAMOS ABCD,CREDITO,PRIVADA
20202284,PRESTAMOS ABCD,CREDITO,PRIVADA
20202285,PRESTAMOS ABCD,CREDITO,PRIVADA
20202286,PRESTAMOS ABCD,CREDITO,PRIVADA
20202287,PRESTAMOS ABCD,CREDITO,PRIVADA
20202288,PRESTAMOS ABCD,CREDITO,PRIVADA
20202289,PRESTAMOS ABCD,CREDITO,PRIVADA
20202290,PRESTAMOS ABCD,CREDITO,PRIVADA
20202291,PRESTAMOS ABCD,CREDITO,PRIVADA
20202292,PRESTAMOS ABCD,CREDITO,PRIVADA
20202293,PRESTAMOS ABCD,CREDITO,PRIVADA
20202294,PRESTAMOS ABCD,CREDITO,PRIVADA
20202295,PRESTAMOS ABCD,CREDITO,PRIVADA
20202296,PRESTAMOS ABCD,CREDITO,PRIVADA
20202297,PRESTAMOS ABCD,CREDITO,PRIVADA
20202298,PRESTAMOS ABCD,CREDITO,PRIVADA
20202299,PRESTAMOS ABCD,CREDITO,PRIVADA
20202700,INVERLAT PAGOS,CREDITO,PRIVADA
20202701,INVERLAT PAGOS,CREDITO,PRIVADA
20202702,INVERLAT PAGOS,CREDITO,PRIVADA
20202703,INVERLAT PAGOS,CREDITO,PRIVADA
20202704,INVERLAT PAGOS,CREDITO,PRIVADA
20202705,INVERLAT PAGOS,CREDITO,PRIVADA
